











<https://github.com/gnolang/roadmap/issues/1>,2023-03-06 20:08:19 +0000 UTC,2023-04-03 09:31:56 +0000 UTC,gnolang/roadmap#1,Issue,Launch Gno.land mainnet,"Depends on #3 
Depends on #2
Blocks #4 ",GitHub,Open,undefined,<https://github.com/moul>,<https://github.com/gnolang/roadmap>
<https://github.com/gnolang/roadmap/issues/10>,2023-04-03 09:28:40 +0000 UTC,2023-04-03 09:32:48 +0000 UTC,gnolang/roadmap#10,Issue,Tendermint2 is secure and audited.,Blocks #3 ,GitHub,Open,undefined,<https://github.com/moul>,<https://github.com/gnolang/roadmap>
<https://github.com/gnolang/roadmap/issues/11>,2023-04-03 09:40:04 +0000 UTC,2023-04-03 09:40:39 +0000 UTC,gnolang/roadmap#11,Issue,Proof-of-Contributions MVP,Blocks #1 ,GitHub,Open,undefined,<https://github.com/moul>,<https://github.com/gnolang/roadmap>
<https://github.com/gnolang/roadmap/issues/12>,2023-04-03 09:40:20 +0000 UTC,2023-04-03 09:40:46 +0000 UTC,gnolang/roadmap#12,Issue,Evaluation DAO MVP,Blocks #11 ,GitHub,Open,undefined,<https://github.com/moul>,<https://github.com/gnolang/roadmap>
<https://github.com/gnolang/roadmap/issues/2>,2023-03-06 20:08:33 +0000 UTC,2023-04-03 09:32:13 +0000 UTC,gnolang/roadmap#2,Issue,GnoVM MVP is finished,Blocks #1 ,GitHub,Open,undefined,<https://github.com/moul>,<https://github.com/gnolang/roadmap>
<https://github.com/gnolang/roadmap/issues/3>,2023-03-06 20:08:43 +0000 UTC,2023-04-03 09:32:07 +0000 UTC,gnolang/roadmap#3,Issue,Tendermint2 MVP is finished,Blocks #1 ,GitHub,Open,undefined,<https://github.com/moul>,<https://github.com/gnolang/roadmap>
<https://github.com/gnolang/roadmap/issues/4>,2023-03-06 22:45:22 +0000 UTC,2023-04-03 09:32:56 +0000 UTC,gnolang/roadmap#4,Issue,IBC1 on Gno.land,Depends on #1 ,GitHub,Open,undefined,<https://github.com/moul>,<https://github.com/gnolang/roadmap>
<https://github.com/gnolang/roadmap/issues/5>,2023-03-06 22:45:34 +0000 UTC,2023-04-03 09:33:02 +0000 UTC,gnolang/roadmap#5,Issue,ICSv1 on Gno.land,Depends on #4 ,GitHub,Open,undefined,<https://github.com/moul>,<https://github.com/gnolang/roadmap>
<https://github.com/gnolang/roadmap/issues/6>,2023-04-03 08:32:43 +0000 UTC,2023-04-03 08:44:57 +0000 UTC,gnolang/roadmap#6,Issue,Solid and straightforward roadmap,"* [ ] Draw the initial roadmap in this repo (@moul, @jaekwon).
* [ ] Use DepViz to maintain a visual roadmap automatically. (see #DepViz) section below.

# Content

To ensure clarity of purpose without limiting our options, we must prioritize facts and establish a clear focus. At the same time, we should have visionary goals that enable people to envision the next steps.

# DepViz

* [ ] Use a privileged token to generate an issues file, and maintain a dedicated branch for commits.
* [ ] Automate the process with CI to keep the file updated
* [ ] Commit various graphical output options to the repo for users to choose from.
* [ ] Create DepViz bot for issue comments, updating with relationship table or image for easy project exploration.
* [ ] Extend DepViz config to main monorepo and sub-repositories.",GitHub,Open,undefined,<https://github.com/moul>,<https://github.com/gnolang/roadmap>
<https://github.com/gnolang/roadmap/issues/7>,2023-04-03 08:34:51 +0000 UTC,2023-04-03 09:32:41 +0000 UTC,gnolang/roadmap#7,Issue,Contributors' DAO leads the project,"Depends on #6 
Related with #1 ",GitHub,Open,undefined,<https://github.com/moul>,<https://github.com/gnolang/roadmap>
<https://github.com/gnolang/roadmap/issues/8>,2023-04-03 08:36:16 +0000 UTC,2023-04-03 09:33:13 +0000 UTC,gnolang/roadmap#8,Issue,Gno.land is designed for longevity.,Depends on #7 ,GitHub,Open,undefined,<https://github.com/moul>,<https://github.com/gnolang/roadmap>
<https://github.com/gnolang/roadmap/issues/9>,2023-04-03 08:37:57 +0000 UTC,2023-04-03 09:34:57 +0000 UTC,gnolang/roadmap#9,Issue,Tendermint2 is stable and adaptable.,"Tendermint2's stability and versatility make it an ideal platform for multiple use cases without requiring a fork.

Tendermint2 is independent from Gno, with its own roadmap and governance.

Depends on #3 
Blocks #8 ",GitHub,Open,undefined,<https://github.com/moul>,<https://github.com/gnolang/roadmap>
